KATEGORIA	NAZWA	OPIS	JAK CZĘSTO	NAGRODA	NAGRODA SPECJALNA
fizyczne	gimnastyka poranna	Gimnastykuj się rano według instrukcji.	raz dziennie	10
fizyczne	20 pompek zwykłych	Zrób 20 zwykłych pompek	bez ograniczeń	5
fizyczne	20 przysiadów	Zrób 20 przysiadów	bez ograniczeń	5
fizyczne	30 brzuszków	Wykonaj 30 brzuszków	bez ograniczeń	5
fizyczne	rozciąganie wieczorem	Rozciągaj się przez 10 minut przed snem.	raz dziennie	10
fizyczne	spacer 5km	Z zachowaniem odpowiednich środków bezpieczeństwa idź na 5km spacer.	bez ograniczeń	20
fizyczne	30 wygięć grzbietu	Wykonaj 30 wygięć grzbietu do tyłu leżąc na brzuchu	bez ograniczeń	7
fizyczne	20 pompek wąskich	Zrób 20 pompek wąskich	bez ograniczeń	7
fizyczne	20 australianów	Wykonaj 20 podciągnięć australijskich	bez ograniczeń	7
fizyczne	skakanka 3min.	Skacz na skakance przez 3 minuty.	bez ograniczeń	7
fizyczne	20 pompek szerokich	Zrób 20 pompek szerokich	bez ograniczeń	7
fizyczne	noszenie zakupów	Pomóż w przyniesieniu ciężkich zakupów/przedmiotów w domu	bez ograniczeń	10
fizyczne	plank 1min.	Utrzymaj pozycje plank przez minutę	bez ograniczeń	10
fizyczne	10 pompek diamentów	Zrób 10 pompek "diamentów"	bez ograniczeń	10
fizyczne	krzesełko 1min.	Utrzymaj pozycje krzesełka przez minute.	bez ograniczeń	10
fizyczne	nożyce 30s	Wykonuj "nożyce" przez 30 sekund.	bez ograniczeń	10
fizyczne	30 burpeesów	Wykonaj 30 burpeesów	bez ograniczeń	12
fizyczne	stanie na rękach opierając się	Utrzymaj się stojąc na rękach będąc opartym o ścianę przez 30 sekund	bez ograniczeń	10
fizyczne	stanie na rękach bez oparcia	Utrzymaj się stojąc na rękach przez 10 sekund (bez podparcia o ścianę)	bez ograniczeń	12
fizyczne	minuta na jednej nodze	Wytrzymaj minutę stojąc na jednej nodze, trzymając kubki pełne wody(po jednym) na wyciągniętych rękach	bez ograniczeń	8
fizyczne	50 pajacyków	Wykonaj 50 pajacyków do rytmu piosenki "never gonna give you up" ricka astleya (ze śpiewaniem)	bez ograniczeń	10
fizyczne	tygodniowy plan ćwiczeń	Zrealizuj tygodniowy plan ćwiczeń zatwierdzony przez osobę trenującą	bez ograniczeń	40	buty poprawiające szybkość w grze
gospodarcze	odkurzanie pokoju	Poodkurzaj swój pokój.	raz dziennie	10
