DZIEŃ	HASŁO DNIA	TREŚĆ	PODPOWIEDŹ
2020-11-23	kałasznikow	W 1956 roku w POznaniu na ulice wyszli robotnicy by pokazać swój sprzeciw wobec władz komunistycznych. Był to pierwszy po wojnie strajk robotniczy wywołany wprowadzeniem niekorzystnego dla robotników systemu płac. 28 i 29 czerwca 1956 r. w Poznaniudoszło do robotniczych protestów, które przerodziły się w walki uliczne. Władze komunistyczne do ich stłumienia użyły wojska. W konsekwencji śmierć poniosło co najmniej 79 osób, rannych było ponad 600. Do tłumienia protestów komuniści zaangażowali kilka dywizji pancernych i piechoty w sile 10 tys. żołnierzy i prawie 360 czołgów. O tych wydarzeniach opowiada piosenka Elekrtycznych Gitar pod nazwą Pozńański Czerwiec. Jakiego karabinu użyto wobec protestujących według Elektrycznych Gitar?   	https://www.youtube.com/watch?v=x0r_-sUmqTw
2020-11-24	B2	Jak się nazywała się druga akcja rozpoznawcza przeprowadzona przez harcerki i harcerzy z Tajnego Hufca Harcerzy z Gdyni podczas II wojny światowej?	https://tvn24.pl/pomorze/gdynia-upamietnienie-tajnego-hufca-harcerzy-i-akcji-b1-oraz-b2-ra994161-2607897
2020-11-25	dom	Największy strajk/protest przeciw władzy komunistycznej przeszedł miał miejsce w 1960 roku i przeszedł do historii pod nazwą Wydarzeń Zielonogórskich.Do walki z władzą stanęło prawie 5 tys. osób.Cała bitwa toczyła sie o katolicki.....?	https://www.youtube.com/watch?v=Bo7LLY50Zhg
2020-11-26	padł	O historii można dowiadywać się nie tylko na lekcjach czy z relacji świadków. Coraz częściej różnego rodzaju twórcy, piosenkarze podejmują tematy historyczne. Jest taka ballada, która mówi o młodym chłopcu zastrzelonym 17 grudnia 1970 roku. Tego dnia załoga Stoczni Gdyńskiej po zakończeniu dzień wcześniej strajku została ostrzelana rankiem w drodze do pracy. Autor ballady, nie znając rzeczywistych personaliów zabitego, nazwał go Janek Wiśniewski. Rzeczywiście nazywał się Zbigniew Godlewski i został zastrzelony w trakcie starć w rejonie stacji Szybkiej Kolei Miejskiej Gdynia Stocznia. Jego ciało zostało przeniesione na czele pochodu ulicami Gdyni. Temat muzycznie został podjęty m.in. przez Kazika. Co zrobił Janek Wiśniewski w jego piosence?	https://www.youtube.com/watch?v=uw9VRnfl9no
2020-11-27	polówki	W walce o niezaleznośc harcerstwa jako Zielona Góra również mamy swój udział. Nocą 4 października 1979 r.  instruktorzy z Zielonej Góry, Krzeszowic i SKarżyska Kamiennej zawiązali konspiracyjny Związek Wolnego Harcerstwa Polskiego. Przyjęto także dodatkowy kryptonim organizacji na wzór „Szarych Szeregów” z okresu II wojny światowej. Były to Szare...........?	https://krakow.ipn.gov.pl/pl4/edukacja/przystanek-historia/95481,Zwiazek-Wolnego-Harcerstwa-Polskiego-Szare-Polowki.html
2020-11-28	1911	w tym roku Małkowski wydał pierwszy rozkaz powołujący pierwsze skautowe drużyny. Jaki to był rok?	https://www.youtube.com/watch?v=Xwl-QLpiAvM
2020-11-29	Dachau	Jak nazywał się obóz konentracyjny, w którym zginął patron polskiego harcerstwa Stefan Wincenty Frelichowski?	https://www.youtube.com/watch?v=MZgGIC62bVw
2020-11-30	Inka	"Powiedzcie mojej babci, że zachowałam się jak trzeba" to ostatnie słowa 17-letniej Danuty Siedzikówny z grypsu przemycowanego z więzienia. BYła to łączniczka w oddziale złożonym z tzw. żołnierzy wykletych. Jaki nosiła pseudonim?	https://www.youtube.com/watch?v=QvqLy88OPJ4
2020-12-01	Borsuk	W harcerrstwie niczym w piłce nożnej dochodzi do transferów, które najpierw skrywane w końcu wychodzą na jaw. Transfery przynajmniej te najlepsze mają na celu osłabienie przeciwnika i wzmocnienie swojej drużyny. Jaki pseudonim nosi gwiazda polskiego youtuba, były hufcowy ZHP i aktualny drużynowy Duktu?	https://www.youtube.com/watch?v=DC2Op5aap9c
2020-12-02	lilijka	Zielonogórscy harcerze gdy zabierają się już za sadzenie lasu robią to w określony sposób. Poki co akcja miała miejsce tylko dwa razy ale mamy już dwa swoje rejony z nowo posadzonym lasem w charakterystycznym kształcie. Co wychodzi z kształtu lasu jaki sadzimy?	https://www.facebook.com/media/set/?set=a.484722331627996.1073741834.266666140100284&type=1
